rownames,project_id,created,modified,name,code,on_the_field_project_code,locality,project_start_date,project_end_date,description_text,description_html,is_billable,guid,created_by_id,last_modification_by_id,division_id,activity_id,funding_type_id,pathology_id,country_id,responsible_id,analytical_axe_id,status,short_name,level,final_impact_comments,initiation_of_the_project_comments,partners_comments,topic_comments,study_pouplation_comments,population_comments,goal_comments,numbers_of_epidemiologist,term_of_reference_has_been_written,protocol_has_been_written,is_there_an_initial_restitution,is_there_a_report_to_be_delivered,is_there_an_article_to_be_submitted,trigger_comments,has_ethical_review_bord,various_countries,sponsor,other_final_impact,goal_id,trigger_id,security_context_id,population_id,role_of_epicentre_id,impact_expected_id,health_structure_id,study_design_id,methodology_id,data_type_id,linked_project_id,topic_id
1,1,2013-11-08 ,2018-11-30 ,C - Pian - Congo - Betou - Enquete de prevalence - MSF-F -  -  -  - ,811199,"","",2013-01-01,2013-12-31,C - Pian - Congo - Betou - Enquete de prevalence - MSF-F -  -  -  - ,Test <strong>description</strong>,1,,,130,7,1,1,21,1,39,2,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",6,2,4,2,1,4,,1,1,3,,35
2,2,2013-11-08 ,2018-08-09 ,Support technique département médical  MSF-OCB ,812023,"","",2013-01-01,2015-12-31,Support technique département médical  MSF-OCB ,"",1,,,130,9,9,1,19,,25,3,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",1,6,4,4,2,4,,4,10,6,,78
3,3,2013-11-08 ,2018-08-01 ,Support technique département médical  MSF-CH ,812024,"","",2013-01-01,2014-12-31,Support technique département médical  MSF-CH ,"",1,,,130,5,1,1,19,,54,4,4,"",4,,,"","","",,,1,,,,,,"",0,0,"","",1,6,4,2,2,1,,4,10,6,,78
4,4,2013-11-08 ,2018-08-09 ,Methodological support  MSF-OCBa,812209,"","",2013-01-01,2015-12-31,Methodological support  MSF-OCBa,"",1,,,130,7,1,1,19,2,3,5,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",6,6,,1,2,4,,4,10,6,,78
5,5,2013-11-08 ,2018-08-09 ,Support to Water and Sanitation  MSF-OCP,811226,"","",2013-01-01,2015-12-31,Support to Water and Sanitation  MSF-OCP,"",1,,,130,7,9,1,19,3,12,6,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",7,6,4,3,2,1,,4,10,6,,75
6,6,2013-11-08 ,2018-08-07 ,C - Cholera - Congo - Pointe Noir - Evaluation et surveillance - MSF-F -  -  -  - ,811227,"","",2013-01-01,2013-12-31,C - Cholera - Congo - Pointe Noir - Evaluation et surveillance - MSF-F,"",1,,,130,8,1,1,22,1,32,7,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",6,2,4,2,5,4,,1,9,4,,6
7,7,2013-11-08 ,2018-08-07 ,C - Measles - RCA - Bangui/Carnot/Paoua - Measles CAR 2012 - MSF-F -  -  -  - ,811228,"","",2013-01-01,2013-12-31,Measles - RCA - Bangui/Carnot/Paoua - Measles CAR 2012 - MSF-F,"",1,,,130,7,1,1,23,4,1,8,4,"",2,,,"","","",,,1,,,,,,"",,0,"","",6,2,4,2,1,4,,1,1,3,,43
8,8,2013-11-08 ,2018-11-30 ,C - Measles - RCA - Abba - Investigation - MSF-F -  -  -  - ,811229,"","",2013-01-01,2013-12-31,Measles - RCA - Abba - Investigation - MSF-F,"",1,,,130,7,1,1,23,4,47,9,4,Measles - RCA - Investigation - OCP 2013,4,,,"","","",,,2,1,,1,1,,"",0,0,"","",6,2,1,2,1,4,,1,11,3,,43
9,9,2013-11-08 ,2018-11-27 ,C - Hepatite E - Soudan du Sud - Batil - Case-cohort study - MSF-B -  -  -  - ,812230,"","",2013-01-01,2013-12-31,Hepatite E - Soudan du Sud - Batil - Case-cohort study -OCB,"",1,,,130,7,1,1,24,5,47,10,4,Hepatitis E South Sudan Batil OCB 2013,4,,,"","","",,,2,1,1,1,1,,"",1,0,"","",6,2,1,1,1,1,,1,2,3,,17
10,10,2013-11-08 ,2018-08-07 ,C - Pest - Madagascar - Tana - Set up surveillance for plague in Tana  - MSF-F -  -  -  - ,811231,"","",2013-01-01,2013-12-31,Peste - Madagascar - Tana - Set up surveillance for plague in Tana  - MSF-F,"",1,,,130,8,1,1,29,6,33,11,4,"",4,,,"",Plague,"",,,1,,,,,,"",,0,"","",6,2,4,2,2,5,,1,12,4,,35
