rownames,project_id,final_impact_final_impacts_id
1,644,1
2,638,3
3,776,2
4,639,3
5,860,5
6,668,2
7,1069,3
8,775,13
9,966,14
10,993,15
11,993,18
12,259,3
13,498,13
14,569,13
15,571,13
16,259,4
17,669,13
18,272,1
19,712,1
20,1041,13
21,461,1
22,492,12
23,492,13
24,601,22
25,627,12
26,739,12
27,739,13
28,834,13
29,712,2
30,644,4
31,644,9
32,590,14
33,1250,13
34,1154,14
35,115,7
36,736,12
37,645,1
38,488,13
39,443,1
40,757,1
41,1049,3
42,1377,13
43,1297,21
44,719,13
45,751,1
46,652,13
47,745,22
48,1240,22
49,979,15
50,1156,14
51,841,13
52,582,2
53,655,9
54,724,7
55,1069,17
56,655,13
57,172,2
58,172,4
59,540,14
60,691,9
61,691,13
62,695,10
63,695,12
64,695,13
65,695,14
66,695,15
67,814,21
68,136,17
69,172,9
70,1239,21
71,672,12
72,672,13
73,1116,15
74,789,12
75,789,13
76,411,9
77,1203,15
78,1273,22
79,1220,7
80,992,1
81,992,2
82,1152,1
83,1047,15
84,712,9
85,712,11
86,712,12
87,712,13
88,982,15
89,1156,21
90,747,3
91,1195,15
92,981,15
93,980,15
94,534,15
95,461,9
96,411,12
97,1129,2
98,406,1
99,406,9
100,1129,13
101,1148,21
102,1002,2
103,1002,16
104,530,1
105,530,14
106,530,18
107,655,21
108,848,13
109,1055,3
110,992,3
111,992,4
112,992,5
113,788,12
114,788,13
115,747,4
116,728,13
117,1190,12
118,992,12
119,992,15
120,992,16
121,857,1
122,1233,15
123,1005,21
124,1055,9
125,1050,13
126,1152,2
127,1152,7
128,1152,11
129,1152,18
130,1040,13
131,1358,3
132,401,1
133,401,2
134,401,4
135,1088,13
136,644,12
137,220,5
138,220,9
139,220,12
140,220,13
141,329,12
142,329,13
143,329,14
144,338,12
145,338,13
146,330,13
147,330,14
148,390,2
149,390,10
150,390,12
151,390,13
152,1050,18
153,440,22
154,970,15
155,1088,14
156,83,13
157,826,22
158,401,6
159,401,9
160,401,10
161,401,12
162,644,13
163,1358,4
164,1096,7
165,996,16
166,1057,13
167,1000,14
168,1000,15
169,1059,17
170,1023,1
171,1169,13
172,572,15
173,1220,8
174,1324,14
175,1244,21
176,1023,2
177,1023,4
178,1023,7
179,1023,12
180,1163,13
181,1136,1
182,1136,17
183,1275,4
184,1055,13
185,1265,13
186,1358,13
187,1352,17
188,994,5
189,1373,13
190,1114,1
191,1114,12
192,1114,13
193,1114,14
194,1114,15
195,1114,22
196,1323,13
197,1246,4
198,1250,14
199,1249,13
200,1128,12
201,963,1
202,963,2
203,963,3
204,963,4
205,963,5
206,963,6
207,963,16
208,1092,7
209,1092,18
210,1092,21
211,1025,2
212,1025,9
213,1025,12
214,1119,12
215,1119,13
216,1119,14
217,1068,12
218,1068,13
219,1068,14
220,1249,14
221,1080,15
222,1128,14
223,1259,12
224,1251,22
225,1237,13
226,1179,3
227,1204,15
228,1245,13
229,196,15
230,1247,12
231,1247,13
232,1247,15
233,994,15
234,1252,21
235,1205,12
236,1209,13
237,1234,13
238,1236,13
239,1194,13
240,1197,15
241,1236,15
242,1048,3
243,1169,21
244,1231,12
245,1323,14
246,1317,14
247,1323,21
248,1001,2
249,1001,3
250,1001,13
251,482,1
252,482,2
253,482,12
254,482,18
255,1100,1
256,1100,14
257,1100,15
258,1100,21
259,1224,4
260,1224,12
261,686,15
262,1224,13
263,1224,14
264,1248,13
265,1093,2
266,1093,3
267,1093,6
268,1161,15
269,995,1
270,995,2
271,995,3
272,995,4
273,995,5
274,995,6
275,995,15
276,995,16
277,705,5
278,705,13
279,1066,13
280,1097,13
281,1097,14
282,1097,21
