rownames,project_id,study_population_age_and_pregnancy_study_populations_id
1,318,5
2,685,1
3,1239,1
4,768,1
5,638,1
6,1149,1
7,740,1
8,639,1
9,885,1
10,962,1
11,1239,10
12,1147,1
13,541,5
14,578,5
15,551,1
16,500,1
17,541,6
18,65,1
19,592,1
20,590,3
21,169,1
22,578,6
23,541,7
24,578,7
25,879,1
26,1356,1
27,839,1
28,877,1
29,728,1
30,498,4
31,569,4
32,1233,10
33,571,1
34,745,1
35,860,1
36,411,1
37,673,1
38,958,1
39,318,6
40,669,1
41,774,9
42,640,1
43,634,1
44,1005,10
45,494,1
46,742,1
47,1362,1
48,752,1
49,718,1
50,666,1
51,1384,1
52,665,1
53,951,1
54,591,1
55,439,10
56,1004,5
57,1004,6
58,596,1
59,1385,1
60,1343,1
61,599,1
62,618,1
63,670,1
64,657,1
65,1004,7
66,172,10
67,12,1
68,561,1
69,814,1
70,570,5
71,710,1
72,382,1
73,492,1
74,235,1
75,753,1
76,1096,1
77,695,1
78,994,1
79,1358,5
80,1358,7
81,783,1
82,1111,8
83,534,10
84,681,1
85,704,2
86,655,1
87,1262,1
88,751,5
89,1257,1
90,751,6
91,1258,1
92,771,1
93,751,7
94,316,1
95,687,1
96,318,7
97,864,1
98,821,1
99,560,5
100,1278,1
101,560,6
102,923,1
103,3,1
104,1062,10
105,530,5
106,530,6
107,384,1
108,653,1
109,530,7
110,683,1
111,1275,1
112,1113,7
113,399,1
114,479,1
115,668,1
116,721,1
117,1121,10
118,533,1
119,882,1
120,773,1
121,727,1
122,39,10
123,1004,8
124,1040,5
125,736,1
126,1123,10
127,789,1
128,672,1
129,1048,1
130,586,1
131,1049,1
132,443,1
133,1377,1
134,757,1
135,754,1
136,622,10
137,1125,1
138,729,1
139,719,1
140,660,10
141,651,3
142,170,5
143,1377,7
144,1245,1
145,1083,9
146,630,1
147,760,1
148,737,1
149,684,1
150,580,3
151,1279,1
152,785,1
153,582,1
154,170,6
155,580,5
156,775,1
157,580,6
158,540,1
159,693,1
160,1220,5
161,532,1
162,580,7
163,871,1
164,739,5
165,739,6
166,739,7
167,580,8
168,81,5
169,81,6
170,359,5
171,359,6
172,359,7
173,81,7
174,170,7
175,957,1
176,570,6
177,570,7
178,570,8
179,567,1
180,772,1
181,562,2
182,401,9
183,1220,7
184,1040,7
185,1166,10
186,797,1
187,1165,1
188,677,1
189,360,5
190,360,6
191,360,7
192,1335,5
193,273,4
194,437,1
195,136,5
196,136,6
197,136,7
198,959,3
199,835,5
200,835,6
201,835,7
202,522,9
203,835,8
204,529,1
205,890,5
206,890,6
207,632,1
208,890,7
209,890,8
210,705,11
211,1249,1
212,641,9
213,744,5
214,744,6
215,744,7
216,489,1
217,115,5
218,115,6
219,115,7
220,645,5
221,645,6
222,645,7
223,488,5
224,488,6
225,488,7
226,524,5
227,524,6
228,524,7
229,1040,8
230,418,1
231,469,1
232,502,1
233,625,1
234,650,5
235,716,5
236,716,6
237,716,7
238,652,5
239,652,6
240,652,7
241,650,7
242,680,1
243,664,1
244,868,6
245,868,7
246,1246,1
247,1069,9
248,1008,1
249,974,5
250,974,6
251,974,7
252,1215,1
253,1246,7
254,13,1
255,974,8
256,892,1
257,953,1
258,221,1
259,1335,7
260,185,1
261,155,1
262,157,5
263,157,6
264,9,1
265,818,5
266,818,6
267,818,7
268,568,1
269,817,9
270,157,7
271,64,1
272,98,1
273,510,1
274,394,1
275,842,10
276,282,10
277,1224,1
278,231,9
279,222,1
280,223,1
281,975,1
282,732,1
283,219,1
284,21,1
285,22,1
286,15,1
287,31,1
288,36,10
289,686,1
290,5,1
291,6,1
292,7,5
293,7,6
294,7,7
295,597,1
296,1084,9
297,1156,1
298,10,1
299,38,10
300,14,1
301,17,2
302,17,5
303,17,6
304,17,7
305,18,1
306,20,5
307,20,6
308,20,7
309,26,2
310,26,5
311,26,6
312,26,7
313,28,5
314,28,6
315,28,7
316,30,2
317,30,5
318,30,6
319,30,7
320,34,2
321,34,5
322,34,6
323,34,7
324,35,1
325,213,1
326,215,1
327,271,1
328,16,1
329,217,1
330,218,1
331,226,1
332,321,1
333,236,5
334,236,6
335,236,7
336,228,1
337,245,1
338,715,1
339,322,5
340,322,6
341,322,7
342,560,7
343,809,5
344,809,6
345,809,7
346,335,5
347,335,6
348,335,7
349,83,5
350,339,1
351,340,1
352,357,5
353,357,6
354,357,7
355,358,1
356,362,1
357,472,1
358,395,1
359,83,6
360,643,1
361,343,1
362,83,7
363,612,1
364,1047,10
365,581,10
366,539,5
367,539,6
368,539,7
369,654,5
370,654,6
371,654,7
372,538,1
373,260,1
374,1311,1
375,852,1
376,80,1
