rownames,session_id,project_id,event_id,article_id,named_aticle_id,theme_id,sub_theme_id,user_comments,event_year,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,qyear,unit_price,unit_price_cur,unit_price_eur,total_cost,real_total_cost,real_total_cost_manual,financer_id,is_in_accounting,comments,credte,creuser_id,upddte,upduser_id,refqyear,refunit_price_eur,reftotal_cost,comptage_jours_qyear
1,1,1,@A_1_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,1564.79,0,0,0,,2021-07-09 ,60,2021-07-09 ,60,,,,
2,1,1,@A_1_2102013,210,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,24.45,0,0,0,,2021-07-09 ,60,2021-07-09 ,60,,,,
3,1,1,@A_1_2142013,214,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,48.22,0,0,0,,2021-07-09 ,60,2021-07-09 ,60,,,,
4,1,1,@T_1_97392013,97,39,1,1,,2013,-1.5,-7,-3,-1,-0,-0,-0,-0,-3,-0,-0,-0,,,0,EUR,0,0,12865,0,0,1,,2021-07-09 ,60,2021-07-09 ,60,,,,15.5
5,1,2,@T_2_97252013,97,25,1,1,,2013,-2,-2.5,-1.6,-4,-3,-1,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,11703,0,0,1,,2021-07-09 ,60,2021-07-09 ,60,,,,14.1
6,1,2,@T_2_97252014,97,25,1,1,,2014,-0,-2,-2,-2,-2.5,-4,-0,-0,-2,-2.5,-3,-1,,,0,EUR,0,0,17430,0,0,1,,2021-07-09 ,60,2021-07-09 ,60,,,,21
7,1,2,@T_2_97252015,97,25,1,1,,2015,-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,,0,0,1,,2021-07-09 ,60,2021-07-09 ,60,,,,4
8,1,2,@T_2_97502014,97,50,1,1,,2014,-0,-0,-0,-0,-0,-0,-0,-0,-1,-0,-0,-0,,,0,EUR,0,0,830,0,0,1,,2021-07-09 ,60,2021-07-09 ,60,,,,1
9,1,2,@T_2_9782013,97,8,1,1,,2013,-2,-0,-0,-0,-0,-0,-1,-0,-0,-1,-0,-1,,,0,EUR,0,0,4150,0,0,1,,2021-07-09 ,60,2021-07-09 ,60,,,,5
10,1,2,@T_2_9782014,97,8,1,1,,2014,-2,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,1660,0,0,1,,2021-07-09 ,60,2021-07-09 ,60,,,,2
11,1,2,84b5b57b-3c59-457d-a37e-56d0cff27a34,97,0,1,1,,2014,2,2,2,2,2,2,2,2,2,2,2,2,0,24,830,EUR,830,19920,0,0,0,0,,2013-12-11 ,8,2013-12-11 ,8,,,,
12,1,3,@A_3_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,194,0,0,0,,2021-07-09 ,60,2021-07-09 ,60,,,,
13,1,3,@A_3_2062014,206,,25,86,,2014,,,,,,,,,,,,,,,0,EUR,0,0,40,0,0,0,,2021-07-09 ,60,2021-07-09 ,60,,,,
14,1,3,@A_3_2102013,210,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,2885.78,0,0,0,,2021-07-09 ,60,2021-07-09 ,60,,,,
