rownames,axe1_analytical_section_id,created,modified,code,created_by_id,last_modification_by_id,text_fr,text_en
1,1,2013-11-08 ,2013-11-20 ,NAESP2,,60,NA - Epidémiologie et santé des populations,NA - Population health
2,2,2013-11-08 ,2013-11-08 ,811199,,,C - Pian - Congo - Betou - Enquete de prevalence - MSF-F -  -  -  - ,C - Pian - Congo - Betou - Enquete de prevalence - MSF-F -  -  -  - 
3,3,2013-11-08 ,2013-11-08 ,812023,,,C - General - All -  - Support technique département médical - MSF-B -  -  -  - ,C - General - All -  - Support technique département médical - MSF-B -  -  -  - 
4,4,2013-11-08 ,2013-11-08 ,812024,,,C - General - All -  - Support technique département médical - MSF-CH -  -  -  - ,C - General - All -  - Support technique département médical - MSF-CH -  -  -  - 
5,5,2013-11-08 ,2013-11-08 ,812209,,,C - All - Barcelona -  - Methodological support - MSF-E -  -  -  - ,C - All - Barcelona -  - Methodological support - MSF-E -  -  -  - 
6,6,2013-11-08 ,2013-11-08 ,811226,,,C - All - France - Paris/Bordeaux - Watsan cell - MSF-F -  -  -  - ,C - All - France - Paris/Bordeaux - Watsan cell - MSF-F -  -  -  - 
7,7,2013-11-08 ,2013-11-08 ,811227,,,C - Cholera - Congo - Pointe Noir - Evaluation et surveillance - MSF-F -  -  -  - ,C - Cholera - Congo - Pointe Noir - Evaluation et surveillance - MSF-F -  -  -  - 
8,8,2013-11-08 ,2013-11-08 ,811228,,,C - Measles - RCA - Bangui/Carnot/Paoua - Measles CAR 2012 - MSF-F -  -  -  - ,C - Measles - RCA - Bangui/Carnot/Paoua - Measles CAR 2012 - MSF-F -  -  -  - 
9,9,2013-11-08 ,2013-11-08 ,811229,,,C - Measles - RCA - Abba - Investigation - MSF-F -  -  -  - ,C - Measles - RCA - Abba - Investigation - MSF-F -  -  -  - 
10,10,2013-11-08 ,2013-11-08 ,812230,,,C - Hepatite E - Soudan du Sud - Batil - Case-cohort study - MSF-B -  -  -  - ,C - Hepatite E - Soudan du Sud - Batil - Case-cohort study - MSF-B -  -  -  - 
11,11,2013-11-08 ,2013-11-08 ,811231,,,C - Pest - Madagascar - Tana - Set up surveillance for plague in Tana  - MSF-F -  -  -  - ,C - Pest - Madagascar - Tana - Set up surveillance for plague in Tana  - MSF-F -  -  -  - 
12,12,2013-11-08 ,2013-11-08 ,814232,,,C - Measles - DCR -  - Measles Eastern DRC 2013 intersectional  - MSF-F - MSF-B - MSF-CH -  - ,C - Measles - DCR -  - Measles Eastern DRC 2013 intersectional  - MSF-F - MSF-B - MSF-CH -  - 
13,13,2013-11-08 ,2013-11-08 ,811233,,,C - Cholera - Haiti -  - Surveillance epidemiologique et production des cartes hebdomadaires - MSF-F -  -  -  - ,C - Cholera - Haiti -  - Surveillance epidemiologique et production des cartes hebdomadaires - MSF-F -  -  -  - 
14,14,2013-11-08 ,2013-11-08 ,811196,,,C - OPD/IPD - All -  - Follow up  OPD/IPD tool  - MSF-F -  -  -  - ,C - OPD/IPD - All -  - Follow up  OPD/IPD tool  - MSF-F -  -  -  - 
15,15,2013-11-08 ,2013-11-08 ,811234,,,C - All - Mali - Koutiala - Nutrition/Vaccination/Mortality survey - MSF-F -  -  -  - ,C - All - Mali - Koutiala - Nutrition/Vaccination/Mortality survey - MSF-F -  -  -  - 
16,16,2013-11-08 ,2013-11-08 ,811178,,,C - Santé environmental - DRC - Lubumbashi - Survey on environmental health - MSF-F -  -  -  - ,C - Santé environmental - DRC - Lubumbashi - Survey on environmental health - MSF-F -  -  -  - 
17,17,2013-11-08 ,2013-11-08 ,811235,,,C - Nutrition - DRC - Kabalo - Enquete nutritionnelle et de mortalité retrospective - MSF-F -  -  -  - ,C - Nutrition - DRC - Kabalo - Enquete nutritionnelle et de mortalité retrospective - MSF-F -  -  -  - 
18,18,2013-11-08 ,2013-11-08 ,811236,,,C - Malaria - Tchad - Moissala - SMC - MSF-F -  -  -  - ,C - Malaria - Tchad - Moissala - SMC - MSF-F -  -  -  - 
19,19,2013-11-08 ,2013-11-08 ,811237,,,C - Mortality - Tchad - Tissi/Goz Beida - Retrospective mortality survey - MSF-F -  -  -  - ,C - Mortality - Tchad - Tissi/Goz Beida - Retrospective mortality survey - MSF-F -  -  -  - 
20,20,2013-11-08 ,2013-11-08 ,812238,,,C - Malaria - Niger - Niamey - SMC Explo - MSF-E -  -  -  - ,C - Malaria - Niger - Niamey - SMC Explo - MSF-E -  -  -  - 
21,21,2013-11-08 ,2013-11-08 ,811239,,,C - Nutrition - Burkina Faso -  - MUAC article writing - MSF-F -  -  -  - ,C - Nutrition - Burkina Faso -  - MUAC article writing - MSF-F -  -  -  - 
22,22,2013-11-08 ,2013-11-08 ,811154,,,C - Cholera - DRC - Kalémie - Surveillance and survey on water and sanitation in Kalemie  - MSF-F -  -  -  - ,C - Cholera - DRC - Kalémie - Surveillance and survey on water and sanitation in Kalemie  - MSF-F -  -  -  - 
23,23,2013-11-08 ,2013-11-08 ,811168,,,C - Mortalité - RCA - Carnot - Surveillance prospective de la mortalité en communauté - MSF-F -  -  -  - ,C - Mortalité - RCA - Carnot - Surveillance prospective de la mortalité en communauté - MSF-F -  -  -  - 
24,24,2013-11-08 ,2013-11-08 ,811224,,,C - Meningitis - Tchad - Moissala - Surveillance - MSF-F -  -  -  - ,C - Meningitis - Tchad - Moissala - Surveillance - MSF-F -  -  -  - 
25,25,2013-11-08 ,2013-11-08 ,812219,,,C - Malaria - Niger - Madaoua and Bouza - Investigation of an increase in malaria cases - MSF-E -  -  -  - ,C - Malaria - Niger - Madaoua and Bouza - Investigation of an increase in malaria cases - MSF-E -  -  -  - 
26,26,2013-11-08 ,2013-11-08 ,813240,,,C - VVS - RDC - Nord et Sud Kivu - Evaluation des programmes psycho-sociaux - CICR -  -  -  - ,C - VVS - RDC - Nord et Sud Kivu - Evaluation des programmes psycho-sociaux - CICR -  -  -  - 
27,27,2013-11-08 ,2013-11-08 ,811241,,,C - Malaria - Niger - Madarounfa et Maradi - Paludisme et CPS - MSF-F -  -  -  - ,C - Malaria - Niger - Madarounfa et Maradi - Paludisme et CPS - MSF-F -  -  -  - 
28,28,2013-11-08 ,2013-11-08 ,812206,,,C - Malaria - RDC - Bas Uélé - Malaria survey - MSF-CH -  -  -  - ,C - Malaria - RDC - Bas Uélé - Malaria survey - MSF-CH -  -  -  - 
29,29,2013-11-08 ,2013-11-08 ,811242,,,C - Measles - Nigeria - Katsina - Post Measles Vaccination Coverage Survey - MSF-F -  -  -  - ,C - Measles - Nigeria - Katsina - Post Measles Vaccination Coverage Survey - MSF-F -  -  -  - 
30,30,2013-11-08 ,2013-11-08 ,812243,,,C - Malaria - Niger - Bouza et Madaoua - Evaluation et monitorage du programme CPS et enquête de mortalité rétrospective - MSF-E -  -  -  - ,C - Malaria - Niger - Bouza et Madaoua - Evaluation et monitorage du programme CPS et enquête de mortalité rétrospective - MSF-E -  -  -  - 
31,31,2013-11-08 ,2013-11-08 ,811244,,,C - Malaria - Niger - Madarounfa - Evaluation of SP+AQ resistance during SMC - MSF-F -  -  -  - ,C - Malaria - Niger - Madarounfa - Evaluation of SP+AQ resistance during SMC - MSF-F -  -  -  - 
32,32,2013-11-08 ,2013-11-08 ,811182,,,C - Diphteria - Nigeria - Kimba - Epidemiological description of a diphtheria outbreak - MSF-F -  -  -  - ,C - Diphteria - Nigeria - Kimba - Epidemiological description of a diphtheria outbreak - MSF-F -  -  -  - 
33,33,2013-11-08 ,2013-11-08 ,812246,,,C - Malaria - Niger - Magaria et Zinder - Monitoring et evaluation du programme CPS - MSF-CH -  -  -  - ,C - Malaria - Niger - Magaria et Zinder - Monitoring et evaluation du programme CPS - MSF-CH -  -  -  - 
34,34,2013-11-08 ,2013-11-08 ,812245,,,C - Malaria - Niger - Guidam Sori - Surveillance et Evaluation du CPS - MSF-B -  -  -  - ,C - Malaria - Niger - Guidam Sori - Surveillance et Evaluation du CPS - MSF-B -  -  -  - 
35,35,2013-11-08 ,2013-11-08 ,811247,,,C - Malaria - Mali - Koutiala - SMC monitoring and coverage - MSF-F -  -  -  - ,C - Malaria - Mali - Koutiala - SMC monitoring and coverage - MSF-F -  -  -  - 
36,36,2013-11-08 ,2013-11-08 ,811248,,,C - Diagnostics - All -  - Contrôle de qualité tests diagnostics rapides - MSF-F -  -  -  - ,C - Diagnostics - All -  - Contrôle de qualité tests diagnostics rapides - MSF-F -  -  -  - 
37,37,2013-11-08 ,2013-11-08 ,800000,,,C -  - All -  - Non used days - MSF-F -  -  -  - ,C -  - All -  - Non used days - MSF-F -  -  -  - 
38,38,2013-11-08 ,2013-11-08 ,800001,,,C -  - All -  - Non used days - MSF-B -  -  -  - ,C -  - All -  - Non used days - MSF-B -  -  -  - 
39,39,2013-11-08 ,2013-11-08 ,800002,,,C -  - All -  - Non used days - MSF-CH -  -  -  - ,C -  - All -  - Non used days - MSF-CH -  -  -  - 
40,40,2013-11-08 ,2013-11-08 ,800003,,,C -  - All -  - Non used days - MSF-E -  -  -  - ,C -  - All -  - Non used days - MSF-E -  -  -  - 
41,41,2013-11-08 ,2013-11-08 ,800004,,,C -  - All -  - Non used days - MSF-H -  -  -  - ,C -  - All -  - Non used days - MSF-H -  -  -  - 
42,42,2013-11-08 ,2013-11-08 ,822171,,,R - Buruli - All -  - score diagnostique - MSF-CH -  -  -  - ,R - Buruli - All -  - score diagnostique - MSF-CH -  -  -  - 
43,43,2013-11-08 ,2013-11-08 ,824164,,,R - VPD - Niger - Maradi - Rotavirus epidemiology and vaccine study - MSF-F - MSF-B - MSF-CH -  - MSF-E,R - VPD - Niger - Maradi - Rotavirus epidemiology and vaccine study - MSF-F - MSF-B - MSF-CH -  - MSF-E
44,44,2013-11-08 ,2013-11-08 ,821330,,,R - Antibiotic resistance - All -  - Presciption habits in MSF hospital settings  - MSF-F -  -  -  - ,R - Antibiotic resistance - All -  - Presciption habits in MSF hospital settings  - MSF-F -  -  -  - 
45,45,2013-11-08 ,2013-11-08 ,821000,,,R - General - All -  - Communication scientifique - MSF-F -  -  -  - ,R - General - All -  - Communication scientifique - MSF-F -  -  -  - 
46,46,2013-11-08 ,2013-11-08 ,821015,,,R - General - All -  - Journée scientifique - MSF-F -  -  -  - ,R - General - All -  - Journée scientifique - MSF-F -  -  -  - 
47,47,2013-11-08 ,2013-11-08 ,824000,,,R - General - All -  - Participation to various WG   - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E,R - General - All -  - Participation to various WG   - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E
48,48,2013-11-08 ,2013-11-08 ,821002,,,R - General - All -  - Partnership fund  - MSF-F -  -  -  - ,R - General - All -  - Partnership fund  - MSF-F -  -  -  - 
49,49,2013-11-08 ,2013-11-08 ,824311,,,R - General - All -  - Support to Lab Working Group - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E,R - General - All -  - Support to Lab Working Group - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E
50,50,2013-11-08 ,2013-11-08 ,824238,,,R - General - Niger - Maradi/Niamey - Scientific Platform - MSF-F - MSF-B - MSF-CH -  - MSF-E,R - General - Niger - Maradi/Niamey - Scientific Platform - MSF-F - MSF-B - MSF-CH -  - MSF-E
51,51,2013-11-08 ,2013-11-08 ,822271,,,R - General - Niger - Maradi/Niamey - Scientific Platform - MSF-N -  -  -  - ,R - General - Niger - Maradi/Niamey - Scientific Platform - MSF-N -  -  -  - 
52,52,2013-11-08 ,2013-11-08 ,824217,,,R - General - Niger - Niamey - Coordination and follow-up - MSF-F - MSF-B - MSF-CH -  - MSF-E,R - General - Niger - Niamey - Coordination and follow-up - MSF-F - MSF-B - MSF-CH -  - MSF-E
53,53,2013-11-08 ,2013-11-08 ,823322,,,R - General - Niger -  - Follow-up of research studies in Niger and coordination support - Princeton -  -  -  - ,R - General - Niger -  - Follow-up of research studies in Niger and coordination support - Princeton -  -  -  - 
54,54,2013-11-08 ,2013-11-08 ,821001,,,R - General - Uganda - Mbarara - Kampala Base arrière - MSF-F -  -  -  - ,R - General - Uganda - Mbarara - Kampala Base arrière - MSF-F -  -  -  - 
55,55,2013-11-08 ,2013-11-08 ,821258,,,R - General - Uganda - Mbarara - Plan de Formation  - MSF-F -  -  -  - ,R - General - Uganda - Mbarara - Plan de Formation  - MSF-F -  -  -  - 
56,56,2013-11-08 ,2013-11-08 ,821009,,,R - General - Uganda - Mbarara - Plateforme Scientifique - MSF-F -  -  -  - ,R - General - Uganda - Mbarara - Plateforme Scientifique - MSF-F -  -  -  - 
57,57,2013-11-08 ,2013-11-08 ,821148,,,R - HIV / AIDS - All -  - Appui Méthodo général - MSF-F -  -  -  - ,R - HIV / AIDS - All -  - Appui Méthodo général - MSF-F -  -  -  - 
58,58,2013-11-08 ,2013-11-08 ,822042,,,R - HIV / AIDS - All -  - Bulletin (suivi descriptif par mission)  Fuchia analysis - MSF-B -  -  -  - ,R - HIV / AIDS - All -  - Bulletin (suivi descriptif par mission)  Fuchia analysis - MSF-B -  -  -  - 
59,59,2013-11-08 ,2013-11-08 ,822105,,,R - HIV / AIDS - All -  - Bulletin (suivi descriptif par mission)  Fuchia analysis - MSF-E -  -  -  - ,R - HIV / AIDS - All -  - Bulletin (suivi descriptif par mission)  Fuchia analysis - MSF-E -  -  -  - 
60,60,2013-11-08 ,2013-11-08 ,821079,,,R - HIV / AIDS - All -  - Bulletin (suivi descriptif par mission)  Fuchia analysis - MSF-F -  -  -  - ,R - HIV / AIDS - All -  - Bulletin (suivi descriptif par mission)  Fuchia analysis - MSF-F -  -  -  - 
61,61,2013-11-08 ,2013-11-08 ,822069,,,R - HIV / AIDS - All -  - Bulletin (suivi descriptif par mission)  Fuchia analysis - MSF-H -  -  -  - ,R - HIV / AIDS - All -  - Bulletin (suivi descriptif par mission)  Fuchia analysis - MSF-H -  -  -  - 
62,62,2013-11-08 ,2013-11-08 ,824020,,,R - HIV / AIDS - All -  - Combined analysis of virological M-studies - MSF-F -  -  -  - MSF-E,R - HIV / AIDS - All -  - Combined analysis of virological M-studies - MSF-F -  -  -  - MSF-E
63,63,2013-11-08 ,2013-11-08 ,824197,,,R - HIV / AIDS - All -  - Fuchia maintenance & support: v 1.7.0 - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E,R - HIV / AIDS - All -  - Fuchia maintenance & support: v 1.7.0 - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E
64,64,2013-11-08 ,2013-11-08 ,822078,,,R - HIV / AIDS - All -  - Fuchia monitoring - MSF-CH -  -  -  - ,R - HIV / AIDS - All -  - Fuchia monitoring - MSF-CH -  -  -  - 
65,65,2013-11-08 ,2013-11-08 ,824072,,,R - HIV / AIDS - All -  - Multicentric data analysis of compiled FUCHIA databases  - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E,R - HIV / AIDS - All -  - Multicentric data analysis of compiled FUCHIA databases  - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E
66,66,2013-11-08 ,2013-11-08 ,824241,,,R - HIV / AIDS - All -  - Multi-site evaluation of HIV RDT - BI -  -  -  - ,R - HIV / AIDS - All -  - Multi-site evaluation of HIV RDT - BI -  -  -  - 
67,67,2013-11-08 ,2013-11-08 ,821077,,,R - HIV / AIDS - Kenya -  - Kaposi - Analyse descriptive ARV/Bléomycine multicentrique  - MSF-F -  -  -  - ,R - HIV / AIDS - Kenya -  - Kaposi - Analyse descriptive ARV/Bléomycine multicentrique  - MSF-F -  -  -  - 
68,68,2013-11-08 ,2013-11-08 ,821328,,,R - HIV / AIDS - Kenya - Ndhiwa - Ndhiwa HIV Impact in Population Survey (NIPS) - MSF-F -  -  -  - ,R - HIV / AIDS - Kenya - Ndhiwa - Ndhiwa HIV Impact in Population Survey (NIPS) - MSF-F -  -  -  - 
69,69,2013-11-08 ,2013-11-08 ,821333,,,R - HIV / AIDS - Malawi - Chiradzulu - Chiradzulu HIV Impact in Population Survey (CHIPS) - MSF-F -  -  -  - ,R - HIV / AIDS - Malawi - Chiradzulu - Chiradzulu HIV Impact in Population Survey (CHIPS) - MSF-F -  -  -  - 
70,70,2013-11-08 ,2013-11-08 ,821309,,,R - HIV / AIDS - Uganda-Kenya-Malawi -  - Multicentric cohort analysis of Paediatric HIV programmes from entry - MSF-F -  -  -  - ,R - HIV / AIDS - Uganda-Kenya-Malawi -  - Multicentric cohort analysis of Paediatric HIV programmes from entry - MSF-F -  -  -  - 
71,71,2013-11-08 ,2013-11-08 ,821335,,,R - HIV / AIDS - Uganda-Kenya-Malawi -  - Resistance patterns in second line failing patients - MSF-F -  -  -  - ,R - HIV / AIDS - Uganda-Kenya-Malawi -  - Resistance patterns in second line failing patients - MSF-F -  -  -  - 
72,72,2013-11-08 ,2013-11-08 ,821336,,,R - HIV / AIDS - Uganda-Kenya-Malawi -  - Analyses - MSF-F -  -  -  - ,R - HIV / AIDS - Uganda-Kenya-Malawi -  - Analyses - MSF-F -  -  -  - 
73,73,2013-11-08 ,2013-11-08 ,822239,,,R - Kala-Azar - Sudan -  - Risk factors for visceral leishmaniasis - MSF-CH -  -  -  - ,R - Kala-Azar - Sudan -  - Risk factors for visceral leishmaniasis - MSF-CH -  -  -  - 
74,74,2013-11-08 ,2013-11-08 ,824338,,,R - Malaria - All -  - Efficacy of artesunate-amodiaquine and artemether-lumefantrine fixed combinations in severely malnourished children. - BI -  -  -  - ,R - Malaria - All -  - Efficacy of artesunate-amodiaquine and artemether-lumefantrine fixed combinations in severely malnourished children. - BI -  -  -  - 
75,75,2013-11-08 ,2013-11-08 ,824245,,,R - Malaria - Niger - Maradi - Efficacy study AS-AQ et DHA-PPQ vs AM-LM for treatment of uncomplicated malaria in children - BI -  -  -  - ,R - Malaria - Niger - Maradi - Efficacy study AS-AQ et DHA-PPQ vs AM-LM for treatment of uncomplicated malaria in children - BI -  -  -  - 
